wavelength,00:00:00.000,00:00:22.975,00:00:45.958,00:01:08.948,00:01:31.929,00:01:54.909,00:02:17.891,00:02:40.876,00:03:03.856,00:03:26.841,00:03:49.826,00:04:12.811,00:04:35.799,00:04:58.777,00:05:21.760,00:05:44.746,00:06:07.733,00:06:30.720,00:06:53.705,00:07:16.686,00:07:39.671,00:08:02.650,00:08:25.637,00:08:48.622,00:09:11.602,00:09:34.582,00:09:57.567,00:10:20.555,00:10:43.550,00:11:06.535
840,40.523613,40.522144,40.607819,40.595463,40.694958,40.668518,40.745041,40.691391,40.731544,40.653866,40.654503,40.636089,40.569611,40.672852,40.601036,40.559669,40.627781,40.530338,40.565273,40.559746,40.584743,40.433529,40.550426,40.418007,40.567291,40.421654,40.536304,40.575691,40.412777,40.444714
841,40.541855,40.536621,40.619465,40.606544,40.707542,40.681011,40.757935,40.704807,40.747063,40.668961,40.66338,40.648037,40.582752,40.683815,40.608654,40.572468,40.638165,40.542992,40.578873,40.568443,40.595116,40.442234,40.566269,40.428764,40.579323,40.429626,40.547283,40.588398,40.421314,40.451824
842,40.560722,40.551594,40.631512,40.618008,40.720558,40.693935,40.771271,40.718681,40.763115,40.684578,40.672554,40.660397,40.596344,40.695152,40.616528,40.585701,40.648907,40.556084,40.592941,40.577442,40.605839,40.451237,40.582657,40.439896,40.59177,40.43787,40.558636,40.601543,40.430141,40.459183
843,40.578209,40.563759,40.643547,40.629723,40.733261,40.707237,40.78426,40.732227,40.778305,40.698864,40.682266,40.673813,40.609657,40.706314,40.625458,40.597862,40.660507,40.567917,40.606335,40.587116,40.616695,40.460522,40.597481,40.449806,40.604591,40.445724,40.569225,40.61338,40.438965,40.467735
844,40.590107,40.566219,40.654697,40.64138,40.744076,40.720791,40.795197,40.743778,40.789707,40.707966,40.692955,40.689606,40.621159,40.716103,40.637039,40.605785,40.674011,40.574947,40.616653,40.598232,40.62719,40.47002,40.606339,40.455181,40.617691,40.451778,40.576653,40.620258,40.447155,40.47942
845,40.602421,40.568768,40.666233,40.653446,40.755272,40.734821,40.806522,40.755726,40.80151,40.717377,40.704014,40.705948,40.633064,40.726234,40.649029,40.613987,40.687981,40.582226,40.627335,40.609734,40.638054,40.479851,40.615501,40.460747,40.631252,40.45805,40.584347,40.627377,40.455631,40.491508
846,40.615173,40.571407,40.678181,40.665943,40.766861,40.749352,40.818253,40.768105,40.813728,40.727131,40.715469,40.722874,40.645393,40.736729,40.661449,40.622475,40.70245,40.589767,40.638393,40.621647,40.649307,40.490032,40.624992,40.466507,40.645294,40.464539,40.592312,40.63475,40.464413,40.504032
847,40.620823,40.572227,40.685543,40.671833,40.776379,40.753338,40.830845,40.778431,40.827953,40.736835,40.729939,40.732361,40.655235,40.748871,40.670811,40.632481,40.712589,40.59639,40.651226,40.632763,40.661953,40.49987,40.630985,40.472355,40.655983,40.473011,40.601612,40.649555,40.473759,40.510124
848,40.626221,40.572968,40.692863,40.677509,40.786076,40.756805,40.843895,40.788967,40.842762,40.746857,40.74506,40.741695,40.665249,40.761505,40.68029,40.642902,40.72279,40.603172,40.664589,40.644196,40.675098,40.510006,40.636963,40.478401,40.666813,40.48188,40.611301,40.665295,40.483444,40.516018
849,40.631805,40.57373,40.700443,40.683392,40.796112,40.760403,40.857407,40.799873,40.858093,40.757225,40.760719,40.751362,40.675613,40.77459,40.690098,40.653694,40.733349,40.610195,40.678417,40.656029,40.688702,40.5205,40.643147,40.484653,40.678024,40.491058,40.621326,40.681591,40.493469,40.522118
850,40.643208,40.586525,40.711781,40.690826,40.807079,40.773216,40.875313,40.815342,40.873753,40.771729,40.7775,40.765671,40.689034,40.790573,40.703484,40.667286,40.747513,40.624146,40.692364,40.672173,40.705086,40.532303,40.658768,40.494595,40.689255,40.50536,40.63586,40.696625,40.505848,40.534569
